	rep	session	run	block	trial	trial_type	rating_type	rating	rating_RT
id-1307_gender-F_age-22	1	4	1	1	1	id-1307_gender-F_age-22	trustworthiness	-0.695	3.835
id-1347_gender-F_age-27	1	4	1	1	2	id-1347_gender-F_age-27	trustworthiness	0.8325	1.435
id-1363_gender-M_age-19	1	4	1	1	3	id-1363_gender-M_age-19	trustworthiness	-0.25249999999999995	0.7509999999999999
id-1377_gender-M_age-20	1	4	1	1	4	id-1377_gender-M_age-20	trustworthiness	0.9925000000000002	1.151
id-1285_gender-F_age-19	1	4	1	1	5	id-1285_gender-F_age-19	trustworthiness	0.1725000000000001	0.9009999999999999
id-1339_gender-F_age-30	1	4	1	1	6	id-1339_gender-F_age-30	trustworthiness	0.4075	1.6680000000000001
id-1296_gender-F_age-23	1	4	1	1	7	id-1296_gender-F_age-23	trustworthiness	-0.38249999999999995	1.26
id-1318_gender-M_age-35	1	4	1	1	8	id-1318_gender-M_age-35	trustworthiness	-0.9575	2.076
id-1266_gender-M_age-21	1	4	1	1	9	id-1266_gender-M_age-21	trustworthiness	0.5350000000000001	1.0759999999999998
id-1344_gender-M_age-25	1	4	1	1	10	id-1344_gender-M_age-25	trustworthiness	-1.0	2.1180000000000003
id-1341_gender-M_age-19	1	4	1	1	11	id-1341_gender-M_age-19	trustworthiness	0.2350000000000001	1.101
id-1373_gender-F_age-30	1	4	1	1	12	id-1373_gender-F_age-30	trustworthiness	-0.32499999999999996	1.485
id-1295_gender-F_age-26	1	4	1	1	13	id-1295_gender-F_age-26	trustworthiness	-0.585	1.501
id-1302_gender-F_age-30	1	4	1	1	14	id-1302_gender-F_age-30	trustworthiness	-0.23750000000000004	1.626
id-1367_gender-M_age-20	1	4	1	1	15	id-1367_gender-M_age-20	trustworthiness	0.3374999999999999	1.3430000000000002
id-1270_gender-F_age-30	1	4	1	1	16	id-1270_gender-F_age-30	trustworthiness	-0.12	0.9009999999999999
id-1280_gender-M_age-18	1	4	1	1	17	id-1280_gender-M_age-18	trustworthiness	-0.5075	1.235
id-1378_gender-F_age-19	1	4	1	1	18	id-1378_gender-F_age-19	trustworthiness	0.38749999999999996	1.16
id-1360_gender-F_age-20	1	4	1	1	19	id-1360_gender-F_age-20	trustworthiness	-0.14	2.6510000000000002
id-1297_gender-F_age-22	1	4	1	1	20	id-1297_gender-F_age-22	trustworthiness	-0.695	1.385
id-1335_gender-M_age-23	1	4	1	1	21	id-1335_gender-M_age-23	trustworthiness	0.30499999999999994	1.026
id-1366_gender-F_age-24	1	4	1	1	22	id-1366_gender-F_age-24	trustworthiness	0.48	1.101
id-1342_gender-M_age-19	1	4	1	1	23	id-1342_gender-M_age-19	trustworthiness	-0.4175	0.9590000000000001
id-1361_gender-F_age-19	1	4	1	1	24	id-1361_gender-F_age-19	trustworthiness	0.4750000000000001	1.7930000000000001
id-1274_gender-F_age-33	1	4	1	1	25	id-1274_gender-F_age-33	trustworthiness	0.1875	1.676
id-1260_gender-F_age-22	1	4	1	1	26	id-1260_gender-F_age-22	trustworthiness	-0.24250000000000005	1.376
id-1290_gender-F_age-23	1	4	1	1	27	id-1290_gender-F_age-23	trustworthiness	-0.755	1.135
id-1370_gender-M_age-19	1	4	1	1	28	id-1370_gender-M_age-19	trustworthiness	0.6375	1.426
id-1310_gender-F_age-28	1	4	1	1	29	id-1310_gender-F_age-28	trustworthiness	0.27249999999999996	1.043
id-1315_gender-M_age-16	1	4	1	1	30	id-1315_gender-M_age-16	trustworthiness	-0.35	0.9179999999999999
id-1269_gender-F_age-23	1	4	1	1	31	id-1269_gender-F_age-23	trustworthiness	-0.495	1.518
id-1294_gender-F_age-26	1	4	1	1	32	id-1294_gender-F_age-26	trustworthiness	0.32000000000000006	1.535
id-1380_gender-F_age-21	1	4	1	1	33	id-1380_gender-F_age-21	trustworthiness	0.4125000000000001	2.4930000000000003
id-1345_gender-M_age-18	1	4	1	1	34	id-1345_gender-M_age-18	trustworthiness	-0.45999999999999996	1.818
id-1376_gender-F_age-19	1	4	1	1	35	id-1376_gender-F_age-19	trustworthiness	-0.15749999999999997	2.0180000000000002
id-1293_gender-F_age-31	1	4	1	1	36	id-1293_gender-F_age-31	trustworthiness	0.1825000000000001	2.343
id-1289_gender-F_age-20	1	4	1	1	37	id-1289_gender-F_age-20	trustworthiness	-0.7375	1.185
id-1356_gender-F_age-20	1	4	1	1	38	id-1356_gender-F_age-20	trustworthiness	-0.39	1.443
id-1355_gender-F_age-19	1	4	1	1	39	id-1355_gender-F_age-19	trustworthiness	-0.16500000000000004	1.61
id-1362_gender-F_age-24	1	4	1	1	40	id-1362_gender-F_age-24	trustworthiness	0.37749999999999995	1.551
id-1311_gender-F_age-22	1	4	1	1	41	id-1311_gender-F_age-22	trustworthiness	0.2875000000000001	2.36
id-1354_gender-F_age-23	1	4	1	1	42	id-1354_gender-F_age-23	trustworthiness	-0.7	1.518
id-1273_gender-F_age-20	1	4	1	1	43	id-1273_gender-F_age-20	trustworthiness	0.6074999999999999	1.818
id-1279_gender-F_age-19	1	4	1	1	44	id-1279_gender-F_age-19	trustworthiness	0.5425	1.926
id-1264_gender-F_age-26	1	4	1	1	45	id-1264_gender-F_age-26	trustworthiness	-0.20999999999999996	0.8340000000000001
id-1306_gender-F_age-21	1	4	1	1	46	id-1306_gender-F_age-21	trustworthiness	0.3125	1.26
id-1309_gender-M_age-22	1	4	1	1	47	id-1309_gender-M_age-22	trustworthiness	-0.515	1.751
id-1323_gender-F_age-23	1	4	1	1	48	id-1323_gender-F_age-23	trustworthiness	0.38250000000000006	3.71
id-1358_gender-F_age-32	1	4	1	1	49	id-1358_gender-F_age-32	trustworthiness	0.56	1.4680000000000002
id-1291_gender-F_age-24	1	4	1	1	50	id-1291_gender-F_age-24	trustworthiness	0.10749999999999993	1.626
