	rep	session	run	block	trial	trial_type	rating_type	rating	rating_RT
id-1294_gender-F_age-26	1	4	1	2	1	id-1294_gender-F_age-26	dominance	-0.01749999999999996	1.135
id-1266_gender-M_age-21	1	4	1	2	2	id-1266_gender-M_age-21	dominance	-0.8675	4.702
id-1297_gender-F_age-22	1	4	1	2	3	id-1297_gender-F_age-22	dominance	0.004999999999999893	1.318
id-1380_gender-F_age-21	1	4	1	2	4	id-1380_gender-F_age-21	dominance	-0.5025	1.284
id-1310_gender-F_age-28	1	4	1	2	5	id-1310_gender-F_age-28	dominance	0.47	0.96
id-1264_gender-F_age-26	1	4	1	2	6	id-1264_gender-F_age-26	dominance	-0.67	1.5930000000000002
id-1295_gender-F_age-26	1	4	1	2	7	id-1295_gender-F_age-26	dominance	0.5475000000000001	0.9840000000000001
id-1323_gender-F_age-23	1	4	1	2	8	id-1323_gender-F_age-23	dominance	0.02750000000000008	0.851
id-1356_gender-F_age-20	1	4	1	2	9	id-1356_gender-F_age-20	dominance	-0.74	1.126
id-1358_gender-F_age-32	1	4	1	2	10	id-1358_gender-F_age-32	dominance	0.18999999999999995	0.826
id-1360_gender-F_age-20	1	4	1	2	11	id-1360_gender-F_age-20	dominance	0.1875	1.143
id-1293_gender-F_age-31	1	4	1	2	12	id-1293_gender-F_age-31	dominance	0.0774999999999999	1.151
id-1269_gender-F_age-23	1	4	1	2	13	id-1269_gender-F_age-23	dominance	0.10499999999999998	0.968
id-1260_gender-F_age-22	1	4	1	2	14	id-1260_gender-F_age-22	dominance	-0.06999999999999995	0.81
id-1280_gender-M_age-18	1	4	1	2	15	id-1280_gender-M_age-18	dominance	0.1200000000000001	0.884
id-1362_gender-F_age-24	1	4	1	2	16	id-1362_gender-F_age-24	dominance	-0.6925	1.026
id-1361_gender-F_age-19	1	4	1	2	17	id-1361_gender-F_age-19	dominance	0.22750000000000004	1.1179999999999999
id-1354_gender-F_age-23	1	4	1	2	18	id-1354_gender-F_age-23	dominance	0.040000000000000036	1.4340000000000002
id-1273_gender-F_age-20	1	4	1	2	19	id-1273_gender-F_age-20	dominance	-0.88	1.251
id-1274_gender-F_age-33	1	4	1	2	20	id-1274_gender-F_age-33	dominance	0.4575	1.268
id-1296_gender-F_age-23	1	4	1	2	21	id-1296_gender-F_age-23	dominance	-0.5675	0.6759999999999999
id-1341_gender-M_age-19	1	4	1	2	22	id-1341_gender-M_age-19	dominance	-0.5125	1.1340000000000001
id-1344_gender-M_age-25	1	4	1	2	23	id-1344_gender-M_age-25	dominance	0.13749999999999996	0.8340000000000001
id-1270_gender-F_age-30	1	4	1	2	24	id-1270_gender-F_age-30	dominance	-0.22999999999999998	0.8340000000000001
id-1315_gender-M_age-16	1	4	1	2	25	id-1315_gender-M_age-16	dominance	0.4850000000000001	1.034
id-1377_gender-M_age-20	1	4	1	2	26	id-1377_gender-M_age-20	dominance	0.02499999999999991	1.159
id-1376_gender-F_age-19	1	4	1	2	27	id-1376_gender-F_age-19	dominance	0.09250000000000003	0.835
id-1306_gender-F_age-21	1	4	1	2	28	id-1306_gender-F_age-21	dominance	-0.4275	1.551
